phone,axes,first_with,with_without,first_without
b,Angular - Round,+++3.122e-13,0.06235,+++8.072e-45
b,Bad - Good,+++6.666e-42,+++7.169e-33,+++3.735e-10
b,Cold - Hot,+++6.828e-12,0.1782,+++3.157e-39
b,Complex - Simple,+++5.541e-06,+++9.435e-06,0.07127
b,Cowardly - Brave,+++4.362e-05,+++2.873e-14,+++0.0002693
b,Dangerous - Secure,+++6.801e-47,0.01308,+++1.367e-91
b,Dark - Luminous,0.04407,+++0.0001277,0.0191
b,Difficult - Easy,+++5.301e-40,+++1.647e-06,+++2.612e-49
b,Evil - Benign,+++1.122e-40,+++1.952e-34,+++2.859e-08
b,Faded - Bright,+++5.629e-127,+++0.0001377,+++9.59e-256
b,Feeble - Strong,+++9.182e-16,+++1.054e-05,+++2.344e-14
b,Masculine - Feminine,0.429,0.04929,0.03051
b,Passive - Active,+++1.685e-49,0.07385,+++9.825e-109
b,Quiet - Loud,+++2.321e-19,+++1.724e-09,+++1.101e-12
b,Rough - Tender,++0.004047,++0.001376,0.3161
b,Sad - Joyful,+++6.011e-05,0.4406,+++6.131e-11
b,Short - Long,+++7.2e-111,+++8.167e-11,+++1.112e-176
b,Slow - Quick,+++1.841e-36,+++0.0003272,+++8.292e-59
b,Small - Big,+++3.806e-52,+++7.621e-22,+++6.792e-35
b,Smooth - Rough_or_not_smooth,+++3.424e-15,+++2.445e-06,+++1.552e-82
b,Ugly - Beautiful,+++0.0001487,0.1855,+++9.12e-13
β,Angular - Round,1.0,+++7.172e-12,1.0
β,Bad - Good,1.0,+++5.777e-46,1.0
β,Cold - Hot,1.0,+++2.433e-39,1.0
β,Complex - Simple,1.0,0.05293,1.0
β,Cowardly - Brave,1.0,+++3.11e-09,1.0
β,Dangerous - Secure,1.0,+++9.455e-23,1.0
β,Dark - Luminous,1.0,+++3.328e-06,1.0
β,Difficult - Easy,1.0,+++0.0007864,1.0
β,Evil - Benign,1.0,+++1.137e-16,1.0
β,Faded - Bright,1.0,+++2.106e-170,1.0
β,Feeble - Strong,1.0,+++4.559e-08,1.0
β,Masculine - Feminine,1.0,+++1.654e-23,1.0
β,Passive - Active,1.0,+++8.01e-15,1.0
β,Quiet - Loud,1.0,+++1.066e-66,1.0
β,Rough - Tender,1.0,0.4613,1.0
β,Sad - Joyful,1.0,+++1.845e-31,1.0
β,Short - Long,1.0,+++0.0007901,1.0
β,Slow - Quick,1.0,+++8.287e-11,1.0
β,Small - Big,1.0,+++4.548e-105,1.0
β,Smooth - Rough_or_not_smooth,1.0,+++7.408e-143,1.0
β,Ugly - Beautiful,1.0,+++2.186e-25,1.0
d,Angular - Round,0.2339,+++3.114e-76,+++1.084e-70
d,Bad - Good,+++3.999e-22,+++1.452e-148,+++7.284e-299
d,Cold - Hot,+++1.635e-07,+++7.862e-12,+++1.266e-39
d,Complex - Simple,+++3.179e-28,0.06682,+++1.165e-53
d,Cowardly - Brave,0.1288,+++1.263e-10,+++6.406e-14
d,Dangerous - Secure,+++6.383e-55,+++6.713e-22,+++1.061e-176
d,Dark - Luminous,+++1.447e-61,+++3.706e-17,+++7.04e-44
d,Difficult - Easy,+++1.423e-50,+++0.0,+++8.252e-255
d,Evil - Benign,+++9.218e-57,+++3.484e-29,+++5.535e-223
d,Faded - Bright,+++6.108e-47,+++0.0,+++0.0
d,Feeble - Strong,++0.001704,+++0.0,+++3.622e-290
d,Masculine - Feminine,+++1.462e-12,+++2.363e-25,0.0759
d,Passive - Active,++0.001135,0.479,+++1.438e-05
d,Quiet - Loud,+++1.568e-107,+++0.0,+++2.631e-74
d,Rough - Tender,+++1.95e-38,++0.005072,+++1.661e-79
d,Sad - Joyful,+++6.446e-160,+++1.767e-59,+++7.038e-89
d,Short - Long,+++4.085e-07,+++2.934e-270,+++0.0
d,Slow - Quick,+++2.698e-18,+++5.012e-113,+++1.575e-32
d,Small - Big,+++3.237e-05,+++2.816e-172,+++8.729e-107
d,Smooth - Rough_or_not_smooth,+++2.988e-60,+++1.007e-14,+++1.486e-178
d,Ugly - Beautiful,+++1.317e-41,++0.001228,+++2.716e-98
ð,Angular - Round,1.0,+++6.794e-66,1.0
ð,Bad - Good,1.0,+++9.562e-59,1.0
ð,Cold - Hot,1.0,+++2.485e-265,1.0
ð,Complex - Simple,1.0,+++4.51e-07,1.0
ð,Cowardly - Brave,1.0,+++2.618e-10,1.0
ð,Dangerous - Secure,1.0,+++0.0,1.0
ð,Dark - Luminous,1.0,+++1.758e-46,1.0
ð,Difficult - Easy,1.0,+++0.0,1.0
ð,Evil - Benign,1.0,+++2.2e-09,1.0
ð,Faded - Bright,1.0,+++4.288e-223,1.0
ð,Feeble - Strong,1.0,+++4.072e-71,1.0
ð,Masculine - Feminine,1.0,+++1.196e-87,1.0
ð,Passive - Active,1.0,+++7.25e-56,1.0
ð,Quiet - Loud,1.0,+++9.21e-60,1.0
ð,Rough - Tender,1.0,+++8.344e-52,1.0
ð,Sad - Joyful,1.0,+++3.7e-114,1.0
ð,Short - Long,1.0,+++6.982e-109,1.0
ð,Slow - Quick,1.0,+++4.527e-12,1.0
ð,Small - Big,1.0,+++6.723e-103,1.0
ð,Smooth - Rough_or_not_smooth,1.0,+++5.784e-50,1.0
ð,Ugly - Beautiful,1.0,+++1.995e-13,1.0
f,Angular - Round,+++5.321e-08,0.01046,+++9.592e-07
f,Bad - Good,+++3.701e-12,++0.008737,+++3.661e-24
f,Cold - Hot,+++0.0006258,0.101,++0.00139
f,Complex - Simple,++0.007842,+++2.058e-14,+++4.364e-17
